"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-07-01 20:00:00",468,13.04071,9.790601
"2021-07-01 20:10:00",469,13.04064,9.787856
"2021-07-01 20:20:00",470,13.04007,9.782331
"2021-07-01 20:30:00",471,13.03974,9.784321
"2021-07-01 20:40:00",472,13.03926,9.784878
"2021-07-01 20:50:00",473,13.0393,9.7887
"2021-07-01 21:00:00",474,13.03829,9.788179
"2021-07-01 21:10:00",475,13.03865,9.786438
"2021-07-01 21:20:00",476,13.03935,9.782995
"2021-07-01 21:30:00",477,13.03898,9.777182
"2021-07-01 21:40:00",478,13.038,9.771498
"2021-07-01 21:50:00",479,13.03799,9.767232
"2021-07-01 22:00:00",480,13.03806,9.76501
"2021-07-01 22:10:00",481,13.03727,9.77279
"2021-07-01 22:20:00",482,13.03767,9.767197
"2021-07-01 22:30:00",483,13.03692,9.767449
"2021-07-01 22:40:00",484,13.0372,9.766552
"2021-07-01 22:50:00",485,13.03742,9.766444
"2021-07-01 23:00:00",486,13.03584,9.761838
"2021-07-01 23:10:00",487,13.03744,9.760566
"2021-07-01 23:20:00",488,13.03656,9.758613
"2021-07-01 23:30:00",489,13.0361,9.764491
"2021-07-01 23:40:00",490,13.03682,9.769061
"2021-07-01 23:50:00",491,13.03684,9.770656
"2021-07-02 00:00:00",492,13.03624,9.772198
"2021-07-02 00:10:00",493,13.03569,9.77487
"2021-07-02 00:20:00",494,13.03525,9.777811
"2021-07-02 00:30:00",495,13.03738,9.780716
"2021-07-02 00:40:00",496,13.03864,9.783676
"2021-07-02 00:50:00",497,13.04127,9.787838
"2021-07-02 01:00:00",498,13.03968,9.794874
"2021-07-02 01:10:00",499,13.04068,9.795986
"2021-07-02 01:20:00",500,13.04127,9.790314
"2021-07-02 01:30:00",501,13.04287,9.78547
"2021-07-02 01:40:00",502,13.04463,9.786206
"2021-07-02 01:50:00",503,13.04288,9.769006
"2021-07-02 02:00:00",504,13.04344,9.749798
"2021-07-02 02:10:00",505,13.04311,9.745537
"2021-07-02 02:20:00",506,13.0441,9.751751
"2021-07-02 02:30:00",507,13.04494,9.747614
"2021-07-02 02:40:00",508,13.04445,9.749585
"2021-07-02 02:50:00",509,13.04368,9.749746
"2021-07-02 03:00:00",510,13.04396,9.748115
